nume_judet	salariu_mediu_net	populatie	nr_someri_per_capita	nume_localitate	nume_localitate_search	tip_localitate	teritoriu
alba	2846	376589	71.7449037912	casa de piatra	casa de piatra$	sat	rural
alba	2846	376589	71.7449037912	casoaia	casoaia$	sat	rural
alba	2846	376589	71.7449037912	cenade	cenade$	sat	rural
alba	2846	376589	71.7449037912	cerbu	cerbu$	sat	rural
alba	2846	376589	71.7449037912	cergau mare	cergau mare$	sat	rural
alba	2846	376589	71.7449037912	cergau mic	cergau mic$	sat	rural
alba	2846	376589	71.7449037912	ceru-bacainti	ceru-bacainti$	sat	rural
alba	2846	376589	71.7449037912	cetatea de balta	cetatea de balta$	sat	rural
alba	2846	376589	71.7449037912	cetea	cetea$	sat	rural
alba	2846	376589	71.7449037912	cheia	cheia$	sat	rural
alba	2846	376589	71.7449037912	cheile cibului	cheile cibului$	sat	rural
alba	2846	376589	71.7449037912	cheleteni	cheleteni$	sat	rural
alba	2846	376589	71.7449037912	cib	cib$	sat	rural
alba	2846	376589	71.7449037912	cicard	cicard$	sat	rural
alba	2846	376589	71.7449037912	cicau	cicau$	sat	rural
alba	2846	376589	71.7449037912	cioara de sus	cioara de sus$	sat	rural
alba	2846	376589	71.7449037912	ciocasu	ciocasu$	sat	rural
alba	2846	376589	71.7449037912	cionesti	cionesti$	sat	rural
alba	2846	376589	71.7449037912	cistei	cistei$	sat	rural
alba	2846	376589	71.7449037912	cisteiu de mures	cisteiu de mures$	sat	rural
alba	2846	376589	71.7449037912	ciuculesti	ciuculesti$	sat	rural
alba	2846	376589	71.7449037912	ciugud	ciugud$	sat	rural
alba	2846	376589	71.7449037912	ciugudu de jos	ciugudu de jos$	sat	rural
alba	2846	376589	71.7449037912	ciugudu de sus	ciugudu de sus$	sat	rural
alba	2846	376589	71.7449037912	ciuguzel	ciuguzel$	sat	rural
alba	2846	376589	71.7449037912	ciuldesti	ciuldesti$	sat	rural
alba	2846	376589	71.7449037912	ciumbrud	ciumbrud$	sat	rural
alba	2846	376589	71.7449037912	ciuruleasa	ciuruleasa$	sat	rural
alba	2846	376589	71.7449037912	coasta hentii	coasta hentii$	sat	rural
alba	2846	376589	71.7449037912	cobles	cobles$	sat	rural
alba	2846	376589	71.7449037912	cocesti	cocesti$	sat	rural
alba	2846	376589	71.7449037912	cocosesti	cocosesti$	sat	rural
alba	2846	376589	71.7449037912	cojocani	cojocani$	sat	rural
alba	2846	376589	71.7449037912	coleseni	coleseni$	sat	rural
alba	2846	376589	71.7449037912	colibi	colibi$	sat	rural
alba	2846	376589	71.7449037912	coltesti	coltesti$	sat	rural
alba	2846	376589	71.7449037912	copand	copand$	sat	rural
alba	2846	376589	71.7449037912	corna	corna$	sat	rural
alba	2846	376589	71.7449037912	cornu	cornu$	sat	rural
alba	2846	376589	71.7449037912	coroiesti	coroiesti$	sat	rural
alba	2846	376589	71.7449037912	cortesti	cortesti$	sat	rural
alba	2846	376589	71.7449037912	coslariu	coslariu$	sat	rural
alba	2846	376589	71.7449037912	coslariu nou	coslariu nou$	sat	rural
alba	2846	376589	71.7449037912	costesti	costesti$	sat	rural
alba	2846	376589	71.7449037912	cotorasti	cotorasti$	sat	rural
alba	2846	376589	71.7449037912	craciunelu de jos	craciunelu de jos$	sat	rural
alba	2846	376589	71.7449037912	craciunelu de sus	craciunelu de sus$	sat	rural
alba	2846	376589	71.7449037912	craiva	craiva$	sat	rural
alba	2846	376589	71.7449037912	cretesti	cretesti$	sat	rural
alba	2846	376589	71.7449037912	cricau	cricau$	sat	rural
alba	2846	376589	71.7449037912	criseni	criseni$	sat	rural
alba	2846	376589	71.7449037912	cristesti	cristesti$	sat	rural
alba	2846	376589	71.7449037912	cucuta	cucuta$	sat	rural
alba	2846	376589	71.7449037912	cugir	cugir$	oras	urban
alba	2846	376589	71.7449037912	culdesti	culdesti$	sat	rural
alba	2846	376589	71.7449037912	cunta	cunta$	sat	rural
alba	2846	376589	71.7449037912	curaturi	curaturi$	sat	rural
alba	2846	376589	71.7449037912	curmatura	curmatura$	sat	rural
alba	2846	376589	71.7449037912	curpeni	curpeni$	sat	rural
alba	2846	376589	71.7449037912	cut	cut$	sat	rural
alba	2846	376589	71.7449037912	daia romana	daia romana$	sat	rural
