nume_judet,nume_localitate,tip_localitate
alba,hodobana,sat
alba,holobani,sat
alba,hoparta,sat
alba,horea,sat
alba,hudricesti,sat
alba,huzaresti,sat
alba,iacobesti,sat
alba,ibru,sat
alba,iclod,sat
alba,ighiel,sat
alba,ighiu,sat
alba,ignatesti,sat
alba,iliesti,sat
alba,incesti,sat
alba,incesti,sat
alba,inoc,sat
alba,inuri,sat
alba,isca,sat
alba,ivanis,sat
alba,izbicioara,sat
alba,izbita,sat
alba,izlaz,sat
alba,izvoarele,sat
alba,izvoarele,sat
alba,izvoru ampoiului,sat
alba,intregalde,sat
alba,jeflesti,sat
alba,jidostina,sat
alba,jidvei,sat
alba,jojei,sat
alba,joldisesti,sat
alba,jurcuiesti,sat
alba,laz,sat
alba,laz,sat
alba,lazuri,sat
alba,lazuri,sat
alba,lazesti,sat
alba,lazesti,sat
alba,lehesti,sat
alba,leorint,sat
alba,lespezea,sat
alba,limba,sat
alba,lipaia,sat
alba,livezile,sat
alba,lodroman,sat
alba,loman,sat
alba,lopadea noua,sat
alba,lopadea veche,sat
alba,luminesti,sat
alba,lunca,sat
alba,lunca,sat
alba,lunca,sat
alba,lunca,sat
alba,lunca ampoitei,sat
alba,lunca bisericii,sat
alba,lunca de jos,sat
alba,lunca goiesti,sat
alba,lunca larga,sat
alba,lunca larga,sat
alba,lunca merilor,sat
alba,lunca metesului,sat
alba,lunca muresului,sat
alba,lunca tarnavei,sat
alba,lunca vesesti,sat
alba,lupaiesti,sat
alba,lupsa,sat
alba,lupseni,sat
alba,lupu,sat
alba,lupulesti,sat
alba,matei,sat
alba,macaresti,sat
alba,maghierat,sat
alba,magura,sat
alba,magura,sat
alba,mahaceni,sat
alba,mamaligani,sat
alba,manarade,sat
alba,manastire,sat
alba,mancesti,sat
alba,margaia,sat
alba,margineni,sat
alba,marinesti,sat
alba,martesti,sat
alba,martinie,sat
alba,matacina,sat
alba,matisesti,sat
alba,matisesti,sat
alba,medresti,sat
alba,medves,sat
alba,mereteu,sat
alba,mesentea,sat
alba,mescreac,sat
alba,metes,sat
alba,micoslaca,sat
alba,mihalt,sat
alba,mihaiesti,sat
alba,miraslau,sat
alba,modolesti,sat
alba,modolesti,sat
alba,mogos,sat
alba,moraresti,sat
alba,moraresti,sat
alba,morcanesti,sat
alba,muncelu,sat
alba,munesti,sat
alba,muntari,sat
alba,mununa,sat
alba,musca,sat
alba,nadastia,sat
alba,namas,sat
alba,napaiesti,sat
alba,necrilesti,sat
alba,necsesti,sat
alba,negesti,sat
alba,negresti,sat
alba,nelegesti,sat
alba,nemesi,sat
alba,nicoresti,sat
alba,niculesti,sat
alba,noslac,sat
alba,novacesti,sat
alba,obreja,sat
alba,ocna mures,oras
alba,ocnisoara,sat
alba,ocoale,sat
alba,ocolis,sat
alba,odverem,sat
alba,ohaba,sat
alba,oidesti,sat
alba,oiejdea,sat
alba,olteni,sat
alba,oncesti,sat
alba,orasti,sat
alba,orgesti,sat
alba,ormenis,sat
alba,padure,sat
alba,padurea,sat
alba,panade,sat
alba,pantesti,sat
alba,pastesti,sat
alba,patrahaitesti,sat
alba,patrangeni,sat
alba,patrusesti,sat
alba,patrutesti,sat
alba,panca,sat
alba,parau gruiului,sat
alba,parau lui mihai,sat
alba,parau-carbunari,sat
alba,peles,sat
alba,perjesti,sat
alba,petelei,sat
alba,petreasa,sat
alba,petreni,sat
alba,petelca,sat
alba,pianu de jos,sat
alba,pianu de sus,sat
alba,pirita,sat
alba,pitarcesti,sat
alba,pitiga,sat
alba,plai,sat
alba,plai,sat
alba,plaiuri,sat
alba,plescuta,sat
alba,plesesti,sat
alba,plesi,sat
alba,plisti,sat
alba,podu lui paul,sat
alba,poduri-bricesti,sat
alba,poiana,sat
alba,poiana,sat
alba,poiana,sat
alba,poiana aiudului,sat
alba,poiana ampoiului,sat
alba,poiana galdei,sat
alba,poiana ursului,sat
alba,poiana vadului,sat
alba,poieni,sat
alba,poieni,sat
alba,poieni,sat
alba,poienile-mogos,sat
alba,poienita,sat
alba,poienita,sat
alba,poiu,sat
alba,ponor,sat
alba,ponorel,sat
alba,popesti,sat
alba,popestii de jos,sat
alba,popestii de sus,sat
alba,posaga de jos,sat
alba,posaga de sus,sat
alba,posogani,sat
alba,potionci,sat
alba,preluca,sat
alba,preluca,sat
alba,presaca ampoiului,sat
alba,puiuletesti,sat
alba,purcareti,sat
alba,puselesti,sat
alba,rachis,sat
alba,ravicesti,sat
alba,racatau,sat
alba,rachita,sat
alba,radesti,sat
alba,rahau,sat
alba,raicani,sat
alba,ratitis,sat
alba,razboieni-cetate,sat
alba,ramet,sat
alba,reciu,sat
alba,remetea,sat
alba,rimetea,sat
alba,robesti,sat
alba,rogoz,sat
alba,rosesti,sat
alba,rosia de secas,sat
alba,rosia montana,sat
alba,runc,sat
alba,runc,sat
alba,runc,sat
alba,runc,sat
alba,runcuri,sat
alba,rusesti,sat
alba,rusi,sat
alba,sartas,sat
alba,sagagea,sat
alba,salagesti,sat
alba,salciua de jos,sat
alba,salciua de sus,sat
alba,salistea,sat
alba,salistea-deal,sat
alba,saracsau,sat
alba,sasciori,sat
alba,sanbenedic,sat
alba,sancel,sat
alba,sancrai,sat
alba,sanmiclaus,sat
alba,santamarie,sat
alba,santimbru,sat
alba,scarisoara,sat
alba,scoarta,sat
alba,sebes,municipiu
alba,sebesel,sat
alba,sebisesti,sat
alba,secasel,sat
alba,segaj,sat
alba,sfarcea,sat
alba,sfoartea,sat
alba,sicoiesti,sat
alba,silivas,sat
alba,simulesti,sat
alba,snide,sat
alba,sohodol,sat
alba,sohodol,sat
alba,spatac,sat
alba,stanesti,sat
alba,stauini,sat
alba,stalnisoara,sat
alba,stana de mures,sat
alba,straja,sat
alba,stremt,sat
alba,strungari,sat
alba,sturu,sat
alba,sub piatra,sat
alba,sucesti,sat
alba,surdesti,sat
alba,suseni,sat
alba,sard,sat
alba,sasa,sat
alba,seusa,sat
alba,sibot,sat
alba,silea,sat
alba,simocesti,sat
alba,soal,sat
alba,soicesti,sat
alba,soimus,sat
alba,sona,sat
alba,spalnaca,sat
alba,spring,sat
alba,stefanca,sat
alba,stei-arieseni,sat
alba,stertesti,sat
alba,stiuleti,sat
alba,sugag,sat
alba,tamboresti,sat
alba,tartaria,sat
alba,tatarlaua,sat
alba,tau,sat
alba,tau bistra,sat
alba,tauni,sat
alba,tauti,sat
alba,tarsa,sat
alba,tarsa-plai,sat
alba,tecsesti,sat
alba,teiu,sat
alba,teius,oras
alba,teleac,sat
alba,tibru,sat
alba,tolacesti,sat
alba,tomesti,sat
alba,tomnatec,sat
alba,tomutesti,sat
alba,tonea,sat
alba,totoi,sat
alba,totesti,sat
alba,trampoiele,sat
alba,trancesti,sat
alba,trifesti,sat
alba,trifesti,sat
alba,trisoresti,sat
alba,turdas,sat
alba,tarina,sat
alba,taranesti,sat
alba,telna,sat
alba,tifra,sat
alba,toci,sat
alba,ungurei,sat
alba,unirea,sat
alba,urdes,sat
alba,vadu motilor,sat
alba,vale in jos,sat
alba,valea abruzel,sat
alba,valea alba,sat
alba,valea barnii,sat
alba,valea barlutesti,sat
alba,valea bucurului,sat
alba,valea cerbului,sat
alba,valea ciuciului,sat
alba,valea cocesti,sat
alba,valea fagetului,sat
alba,valea giogesti,sat
alba,valea goblii,sat
alba,valea holhorii,sat
alba,valea inzelului,sat
alba,valea larga,sat
alba,valea lui mihai,sat
alba,valea lunga,sat
alba,valea lupsii,sat
alba,valea maciului,sat
alba,valea mare,sat
alba,valea manastirii,sat
alba,valea mica,sat
alba,valea mlacii,sat
alba,valea morii,sat
alba,valea negrilesii,sat
alba,valea poienii,sat
alba,valea poienii,sat
alba,valea sasului,sat
alba,valea sesii,sat
alba,valea sesii,sat
alba,valea tupilor,sat
alba,valea utului,sat
alba,valea uzei,sat
alba,valea verde,sat
alba,valea vintului,sat
alba,vama seaca,sat
alba,vanvucesti,sat
alba,vai,sat
alba,valeni,sat
alba,valeni,sat
alba,valisoara,sat
alba,vasesti,sat
alba,valcaneasa,sat
alba,valcea,sat
alba,valcesti,sat
alba,valtori,sat
alba,valtori,sat
alba,varsi-rontu,sat
alba,varsii mari,sat
alba,varsii mici,sat
alba,vartanesti,sat
alba,vartop,sat
alba,verdesti,sat
alba,veseus,sat
alba,vidolm,sat
alba,vidra,sat
alba,vidrisoara,sat
alba,viezuri,sat
alba,vingard,sat
alba,vinta,sat
alba,vintu de jos,sat
alba,vladesti,sat
alba,vladosesti,sat
alba,vulcan,sat
alba,vurpar,sat
alba,zagris,sat
alba,zaries,sat
alba,zanzesti,sat
alba,zlatna,oras
arad,aciuta,sat
arad,adea,sat
arad,agrisu mare,sat
arad,agrisu mic,sat
arad,aldesti,sat
arad,almas,sat
arad,alunis,sat
arad,andrei saguna,sat
arad,apateu,sat
arad,arad,municipiu
arad,araneag,sat
arad,archis,sat
arad,avram iancu,sat
arad,avram iancu,sat
arad,bacau de mijloc,sat
arad,baia,sat
arad,baratca,sat
arad,bata,sat
arad,banesti,sat
arad,batuta,sat
arad,barsa,sat
arad,barzava,sat
arad,barzesti,sat
arad,beliu,sat
arad,belotint,sat
arad,benesti,sat
arad,berechiu,sat
arad,berindia,sat
arad,birchis,sat
arad,bochia,sat
arad,bocsig,sat
arad,bodesti,sat
arad,bodrogu nou,sat
arad,bodrogu vechi,sat
arad,bontesti,sat
arad,botfei,sat
arad,brazii,sat
arad,brusturi,sat
arad,bruznic,sat
arad,buceava-soimus,sat
arad,budesti,sat
arad,buhani,sat
arad,bulci,sat
arad,buteni,sat
arad,camna,sat
arad,calugareni,sat
arad,capalnas,sat
arad,caprioara,sat
arad,capruta,sat
arad,carand,sat
arad,cermei,sat
arad,chelmac,sat
arad,cherelus,sat
arad,chesint,sat
arad,chier,sat
arad,chisindia,sat
arad,chisineu-cris,oras
arad,chislaca,sat
arad,cicir,sat
arad,cil,sat
arad,cintei,sat
arad,ciuntesti,sat
arad,cladova,sat
arad,clit,sat
arad,cociuba,sat
arad,comanesti,sat
arad,conop,sat
arad,corbesti,sat
arad,coroi,sat
arad,covasant,sat
arad,craiva,sat
arad,cristesti,sat
arad,crocna,sat
arad,cruceni,sat
arad,cuias,sat
arad,cuied,sat
arad,curtici,oras
arad,cuvesdia,sat
arad,cuvin,sat
arad,dezna,sat
arad,dieci,sat
arad,donceni,sat
arad,dorgos,sat
arad,dorobanti,sat
arad,draut,sat
arad,dud,sat
arad,dulcele,sat
arad,dumbrava,sat
arad,dumbravita,sat
arad,fantanele,sat
arad,felnac,sat
arad,fenis,sat
arad,firiteaz,sat
arad,fiscut,sat
arad,frumuseni,sat
arad,galsa,sat
arad,ghioroc,sat
arad,graniceri,sat
arad,groseni,sat
arad,grosi,sat
arad,grosii noi,sat
arad,gura vaii,sat
arad,gurahont,sat
arad,gurba,sat
arad,halalis,sat
arad,halmagiu,sat
arad,halmagel,sat
arad,hasmas,sat
arad,hodis,sat
arad,hontisor,sat
arad,horia,sat
arad,hunedoara timisana,sat
arad,iacobini,sat
arad,iercoseni,sat
arad,iermata,sat
arad,iermata neagra,sat
arad,ignesti,sat
arad,ilteu,sat
arad,ineu,oras
arad,ionesti,sat
arad,iosas,sat
arad,iratosu,sat
arad,joia mare,sat
arad,julita,sat
arad,labasint,sat
arad,lalasint,sat
arad,laz,sat
arad,lazuri,sat
arad,leasa,sat
arad,lestioara,sat
arad,lipova,oras
arad,livada,sat
arad,luguzau,sat
arad,luncsoara,sat
arad,lupesti,sat
arad,macea,sat
arad,mailat,sat
arad,maderat,sat
arad,madrigesti,sat
arad,magulicea,sat
arad,manastur,sat
arad,maraus,sat
arad,mandruloc,sat
arad,manerau,sat
arad,masca,sat
arad,mermesti,sat
arad,milova,sat
arad,minead,sat
arad,minis,sat
arad,minisel,sat
arad,minisu de sus,sat
arad,misca,sat
arad,mocrea,sat
arad,moneasa,sat
arad,monorostia,sat
arad,moroda,sat
arad,motiori,sat
arad,munar,sat
arad,mustesti,sat
arad,nadas,sat
arad,nadab,sat
arad,nadalbesti,sat
arad,nadlac,oras
arad,neagra,sat
arad,nermis,sat
arad,neudorf,sat
arad,nicolae balcescu,sat
arad,obarsia,sat
arad,odvos,sat
arad,olari,sat
arad,ostrov,sat
arad,paiuseni,sat
arad,patars,sat
arad,paulian,sat
arad,paulis,sat
arad,pancota,oras
arad,parnesti,sat
arad,pecica,oras
arad,peregu mare,sat
arad,peregu mic,sat
arad,pescari,sat
arad,petris,sat
arad,pilu,sat
arad,plescuta,sat
arad,poiana,sat
arad,poienari,sat
arad,prunisor,sat
arad,radesti,sat
arad,ranusa,sat
arad,rapsig,sat
arad,revetis,sat
arad,rogoz de beliu,sat
arad,rostoci,sat
arad,rosia,sat
arad,rosia noua,sat
arad,satu mare,sat
arad,satu mic,sat
arad,satu nou,sat
arad,salajeni,sat
arad,savarsin,sat
arad,sambateni,sat
arad,sanleani,sat
arad,sanmartin,sat
arad,sanpaul,sat
arad,sanpetru german,sat
arad,santana,oras
arad,sarbi,sat
arad,sebis,oras
arad,secaci,sat
arad,secas,sat
arad,secusigiu,sat
arad,sederhat,sat
arad,seleus,sat
arad,seliste,sat
arad,selistea,sat
arad,semlac,sat
arad,sintea mare,sat
arad,sintea mica,sat
arad,slatina de cris,sat
arad,slatina de mures,sat
arad,socodor,sat
arad,stejar,sat
arad,stoinesti,sat
arad,susag,sat
arad,susani,sat
arad,sagu,sat
arad,seitin,sat
arad,sepreus,sat
arad,siad,sat
arad,siclau,sat
arad,sicula,sat
arad,silindia,sat
arad,simand,sat
arad,siria,sat
arad,sistarovat,sat
arad,sofronea,sat
arad,somosches,sat
arad,taut,sat
arad,tagadau,sat
arad,talagiu,sat
arad,talmaci,sat
arad,tarnavita,sat
arad,tarnova,sat
arad,temesesti,sat
arad,tisa,sat
arad,tisa noua,sat
arad,toc,sat
arad,troas,sat
arad,turnu,sat
arad,tarmure,sat
arad,tela,sat
arad,tipar,sat
arad,tohesti,sat
arad,urvisu de beliu,sat
arad,ususau,sat
arad,valea mare,sat
arad,valea mare,sat
arad,variasu mare,sat
arad,variasu mic,sat
arad,varnita,sat
arad,vasile goldis,sat
arad,varadia de mures,sat
arad,varsand,sat
arad,vasoaia,sat
arad,vanatori,sat
arad,varfurile,sat
arad,vidra,sat
arad,vinga,sat
arad,virismort,sat
arad,vladimirescu,sat
arad,voivodeni,sat
arad,zabalt,sat
arad,zabrani,sat
arad,zadareni,sat
arad,zarand,sat
arad,zerind,sat
arad,zerindu mic,sat
arad,zimandcuz,sat
arad,zimandu nou,sat
arad,zimbru,sat
arges,adunati,sat
arges,afrimesti,sat
arges,albesti,sat
arges,albestii pamanteni,sat
arges,albestii ungureni,sat
arges,albota,sat
arges,albotele,sat
arges,alunis,sat
arges,alunisu,sat
arges,alunisu,sat
arges,anghinesti,sat
arges,aninoasa,sat
arges,arefu,sat
arges,argesani,sat
arges,argeselu,sat
arges,babaroaga,sat
arges,balabani,sat
arges,baloteasca,sat
arges,bascov,sat
arges,bascovele,sat
arges,babana,sat
arges,bacesti,sat
arges,badeni,sat
arges,badesti,sat
arges,badesti,sat
arges,badicea,sat
arges,badila,sat
arges,badislava,sat
arges,badulesti,sat
arges,baiculesti,sat
arges,baila,sat
arges,bajanesti,sat
arges,bajesti,sat
arges,balilesti,sat
arges,balilesti,sat
arges,balteni,sat
arges,baltata,sat
arges,banaresti,sat
arges,banicesti,sat
arges,baranesti,sat
arges,barasti,sat
arges,barbalani,sat
arges,barbalatesti,sat
arges,barbatesti,sat
arges,batrani,sat
arges,bantau,sat
arges,barla,sat
arges,barlogu,sat
arges,barloi,sat
arges,barsestii de jos,sat
arges,barsestii de sus,sat
arges,barzesti,sat
arges,beculesti,sat
arges,beleti,sat
arges,berevoesti,sat
arges,berindesti,sat
arges,bilcesti,sat
arges,blaju,sat
arges,blejani,sat
arges,bogati,sat
arges,bolculesti,sat
arges,bolovanesti,sat
arges,bordeieni,sat
arges,borlesti,sat
arges,borobanesti,sat
arges,borovinesti,sat
arges,boteni,sat
arges,botarcani,sat
arges,botesti,sat
arges,brabeti,sat
arges,bradu,sat
arges,branistea,sat
arges,bratia,sat
arges,bratia,sat
arges,bradetu,sat
arges,bradulet,sat
arges,braileni,sat
arges,brateasca,sat
arges,bratesti,sat
arges,branzari,sat
arges,brosteni,sat
arges,brosteni,sat
arges,bucov,sat
arges,bucsenesti,sat
arges,bucsenesti-lotasi,sat
arges,budeasa mare,sat
arges,budeasa mica,sat
arges,budisteni,sat
arges,bughea de jos,sat
arges,bughea de sus,sat
arges,bujoi,sat
arges,bujoreni,sat
arges,bumbueni,sat
arges,bunesti,sat
arges,bunesti,sat
arges,burdea,sat
arges,burdesti,sat
arges,buretesti,sat
arges,burlusi,sat
arges,burnesti,sat
arges,buta,sat
arges,buzoesti,sat
arges,calotesti,sat
arges,capu piscului,sat
arges,capu piscului,sat
arges,catane,sat
arges,catanele,sat
arges,caldararu,sat
arges,calinesti,sat
arges,capatanenii pamanteni,sat
arges,capatanenii ungureni,sat
arges,carpenis,sat
arges,cateasca,sat
arges,catunasi,sat
arges,campulung,municipiu
arges,candesti,sat
arges,carcesti,sat
arges,carciumaresti,sat
arges,carstieni,sat
arges,ceauresti,sat
arges,ceausesti,sat
arges,cepari,sat
arges,ceparii pamanteni,sat
arges,ceparii ungureni,sat
arges,cerbu,sat
arges,cerbureni,sat
arges,cersani,sat
arges,cetateni,sat
arges,chilii,sat
arges,chiritesti,sat
arges,chiritesti,sat
arges,chiritesti,sat
arges,chitani,sat
arges,chitesti,sat
arges,cicanesti,sat
arges,ciesti,sat
arges,ciobani,sat
arges,ciobanesti,sat
arges,ciocanu,sat
arges,ciocanai,sat
arges,ciocanesti,sat
arges,ciocesti,sat
arges,ciofrangeni,sat
arges,ciolcesti,sat
arges,ciomagesti,sat
arges,ciresu,sat
arges,cismea,sat
arges,ciulnita,sat
arges,ciupa-manciulescu,sat
arges,ciuresti,sat
arges,clucereasa,sat
arges,cocenesti,sat
arges,cochinesti,sat
arges,cocu,sat
arges,colibasi,sat
arges,colnic,sat
arges,coltu,sat
arges,contesti,sat
arges,corbeni,sat
arges,corbi,sat
arges,corbsori,sat
arges,cornatel,sat
arges,cosaci,sat
arges,costesti,oras
arges,costesti,sat
arges,costesti-valsan,sat
arges,costita,sat
arges,coseri,sat
arges,cosesti,sat
arges,coteasca,sat
arges,cotenesti,sat
arges,cotesti,sat
arges,cotmeana,sat
arges,cotmeana,sat
arges,cotmenita,sat
arges,cotu,sat
arges,cotu,sat
arges,cotu malului,sat
arges,crampotani,sat
arges,crintesti,sat
arges,crivatu,sat
arges,crucisoara,sat
arges,cuca,sat
arges,cungrea,sat
arges,curtea de arges,municipiu
arges,curteanca,sat
arges,davidesti,sat
arges,dambovicioara,sat
arges,darmanesti,sat
arges,deagu de jos,sat
arges,deagu de sus,sat
arges,dealu,sat
arges,dealu bisericii,sat
arges,dealu bradului,sat
arges,dealu frumos,sat
arges,dealu obejdeanului,sat
arges,dealu orasului,sat
arges,dealu padurii,sat
arges,dealu tolcesii,sat
arges,dealu viilor,sat
arges,dealu viilor,sat
arges,dedulesti,sat
arges,diconesti,sat
arges,dincani,sat
arges,dinculesti,sat
arges,doblea,sat
arges,dobresti,sat
arges,dobrogostea,sat
arges,dobrotu,sat
arges,dogari,sat
arges,domnesti,sat
arges,dragoslavele,sat
arges,draganu-olteni,sat
arges,draghescu,sat
arges,draghicesti,sat
arges,draghici,sat
arges,dragolesti,sat
arges,dumbrava,sat
arges,dumbravesti,sat
arges,dumiresti,sat
arges,enculesti,sat
arges,fata,sat
arges,facaletesti,sat
arges,fagetu,sat
arges,falfani,sat
arges,fantanea,sat
arges,fedelesoiu,sat
arges,florieni,sat
arges,fratesti,sat
arges,fratici,sat
arges,furduesti,sat
arges,furesti,sat
arges,furnicosi,sat
arges,galesu,sat
arges,gainusa,sat
arges,galasesti,sat
arges,galesesti,sat
